indicator,pattern,rate,tiers,seed,mape,flips,n_pairs,coverage,rel_width,n_participants,pds,flow_share
GHG,random,0.0,2,6,15.544150384097586,9.876543209876543,162,94.73684210526315,1.0409690572315862,0,0.20086052855262304,0.0
GHG,random,0.0,2,7,15.544150384097586,9.876543209876543,162,100.0,0.9970117383308958,0,0.20086052855262304,0.0
GHG,random,0.0,2,8,15.544150384097586,9.876543209876543,162,94.73684210526315,0.9490112933430067,0,0.20086052855262304,0.0
GHG,random,0.0,2,9,15.544150384097586,9.876543209876543,162,100.0,0.9531784422180917,0,0.20086052855262304,0.0
GHG,random,0.0,3,0,15.544150384097586,9.876543209876543,162,100.0,1.005977504617627,0,0.20086052855262304,0.0
GHG,random,0.0,3,1,15.544150384097586,9.876543209876543,162,100.0,1.0298053133503655,0,0.20086052855262304,0.0
GHG,random,0.0,3,2,15.544150384097586,9.876543209876543,162,94.73684210526315,0.9881698008981382,0,0.20086052855262304,0.0
GHG,random,0.0,3,3,15.544150384097586,9.876543209876543,162,94.73684210526315,0.9818288479607489,0,0.20086052855262304,0.0
GHG,random,0.0,3,4,15.544150384097586,9.876543209876543,162,100.0,1.0548000507753088,0,0.20086052855262304,0.0
GHG,random,0.0,3,5,15.544150384097586,9.876543209876543,162,100.0,0.9864972498227973,0,0.20086052855262304,0.0
GHG,random,0.0,3,6,15.544150384097586,9.876543209876543,162,94.73684210526315,1.0521813445573045,0,0.20086052855262304,0.0
GHG,random,0.0,3,7,15.544150384097586,9.876543209876543,162,94.73684210526315,1.0280469169187234,0,0.20086052855262304,0.0
GHG,random,0.0,3,8,15.544150384097586,9.876543209876543,162,89.47368421052632,1.060486521595259,0,0.20086052855262304,0.0
GHG,random,0.0,3,9,15.544150384097586,9.876543209876543,162,100.0,0.999257306074951,0,0.20086052855262304,0.0
GHG,random,0.0,0,0,15.544150384097586,9.876543209876543,162,100.0,1.0596994137774067,0,0.20086052855262304,0.0
GHG,random,0.0,0,1,15.544150384097586,9.876543209876543,162,94.73684210526315,0.9909133494729203,0,0.20086052855262304,0.0
GHG,random,0.0,0,2,15.544150384097586,9.876543209876543,162,94.73684210526315,0.9916648939070755,0,0.20086052855262304,0.0
GHG,random,0.0,0,3,15.544150384097586,9.876543209876543,162,100.0,1.0138878615787548,0,0.20086052855262304,0.0
GHG,random,0.0,0,4,15.544150384097586,9.876543209876543,162,94.73684210526315,0.9512345304411095,0,0.20086052855262304,0.0
GHG,random,0.0,0,5,15.544150384097586,9.876543209876543,162,100.0,0.947121692661966,0,0.20086052855262304,0.0
GHG,random,0.0,0,6,15.544150384097586,9.876543209876543,162,100.0,0.968263450025362,0,0.20086052855262304,0.0
GHG,random,0.0,0,7,15.544150384097586,9.876543209876543,162,100.0,1.086169434890068,0,0.20086052855262304,0.0
GHG,random,0.0,0,8,15.544150384097586,9.876543209876543,162,94.73684210526315,1.0028876498800448,0,0.20086052855262304,0.0
GHG,random,0.0,0,9,15.544150384097586,9.876543209876543,162,94.73684210526315,1.0980012377221287,0,0.20086052855262304,0.0
GHG,random,0.05,1,0,16.694998625673716,9.25925925925926,162,100.0,0.9532911343172314,3,0.20809807349656237,0.05252544072787967
GHG,random,0.05,1,1,15.955718793091933,9.25925925925926,162,94.73684210526315,0.8908274613262993,3,0.25614461056354537,0.0914793732641257
GHG,random,0.05,1,2,13.926495513942033,8.641975308641975,162,94.73684210526315,0.9392035061443824,3,0.23277280379774123,0.09814839002041789
GHG,random,0.05,1,3,15.87532535401413,8.641975308641975,162,94.73684210526315,0.9619934154460267,3,0.2398462668221796,0.06596221212616689
GHG,random,0.05,1,4,14.092724123139218,9.876543209876543,162,100.0,0.9766879190775088,3,0.2210721536831841,0.027061000968898963
GHG,random,0.05,1,5,14.325772703792822,6.790123456790123,162,100.0,0.9950367740277294,3,0.20285284132092138,0.06315688614771636
GHG,random,0.05,1,6,14.561728055165085,10.493827160493828,162,94.73684210526315,0.9726696071041502,3,0.22985533771086075,0.03281552342923083
GHG,random,0.05,1,7,15.202432527467003,7.407407407407407,162,89.47368421052632,1.0527589626780027,3,0.24002454743517304,0.055036329397567384
GHG,random,0.05,1,8,14.610593591868785,6.790123456790123,162,100.0,0.9358670531252126,3,0.20472879699327912,0.06033329046366945
GHG,random,0.05,1,9,15.539558308786274,9.25925925925926,162,100.0,1.0860326779835743,3,0.21170677491727413,0.057265534014015726
GHG,random,0.05,2,0,15.68065651272914,9.25925925925926,162,100.0,0.9750739044631168,3,0.20329736777357316,0.058352563784940935
GHG,random,0.05,2,1,17.40227378966234,9.876543209876543,162,100.0,0.9455019257802634,3,0.20814878944894985,0.02257762344307747
